device_name,ip_address
KC-FPTV-1stFloorPusat Sumber FPTV,10.8.2.11
HEPA Main Switch Ping:,10.8.2.19
C1-FIB,10.8.2.20
Relasis Pejabat Ping:,10.8.2.21
HEPA Access Switch Ping:,10.8.2.27
Cafe Main Switch Ping:,10.8.2.29
Cafe Access Switch Ping:,10.8.2.30
F6 Disti Main Switch Oricc Ping:,10.8.2.31
F6 Gfloor Oricc Ping:,10.8.2.32
F6 1stFloor Oricc Ping:,10.8.2.33
Mkml Komp3 - Blok C 1st Floor Ping:,10.8.2.34
Yayasan UTHM Library Gfloor (bilik kaca) Ping:,10.8.2.39
E POE Ping:,10.8.2.40
PPUK Kabin Depan Relasis Ping:,10.8.2.41
C Ping:,10.8.2.44
D Ping:,10.8.2.45
A POE L1 (room A2-05) Ping:,10.8.2.46
UBNT Master FKAAB(C) to KKP(H)  Ping:,10.8.2.49
UBNT Remote KKP(H) to FKAAB(C)Ping:,10.8.2.50
B1-Bilik Seminar Dpn MKPTM2,10.8.2.55
Kolam Renang Ping:,10.8.2.56
F6 2ndFloor Oricc Ping:,10.8.2.57
F6 3rdFloor Oricc Ping:,10.8.2.58
F6 4thFloor Oricc Ping:,10.8.2.59
Pos Kawalan 4 Depan Masjid Ping:,10.8.2.63
B SW2 Ping:,10.8.2.64
Stor Kimia 10.8.2.67 Ping:,10.8.2.67
G5A POE KKTF Switch 1st Floor Ping:,10.8.2.86
G5B POE KKTF Switch 1st Floor Ping:,10.8.2.87
G5C POE KKTF Switch 1st Floor Ping:,10.8.2.88
G5D POE KKTF Switch 1st Floor Ping:,10.8.2.89
PPP Pembangunan Ping:,10.8.2.110
D2-Asrama TSN 1stFloor POE Ping:,10.8.2.129
D3-Asrama TSN 1stFloor POE Ping:,10.8.2.130
PPP Penyelengaraan Ping:,10.8.2.158
Cambium Master FKAAB(A) to KKP(H)  Ping:,10.8.2.169
Cambium Remote KKP(H) to FKAAB(A)Ping:,10.8.2.170
A6 Pos Pengawal Remote UBNT -,10.8.2.173
A6 Pos Pengawal Master UBNT -,10.8.2.174
R3 A5,10.8.2.204
Disti FSKTM GFloor Ping:,10.8.2.206
Disti FSKTM GFloor Ping:,10.8.2.207
Disti FKAAB BlokA-Gfloor Ping:,10.8.2.210
Disti FKAAB BlokA-Gfloor Ping:,10.8.2.211
Disti Perpustakaan 2nd Floor BigStage Ping:,10.8.2.212
Disti Perpustakaan 2nd Floor Blkg LifPing:,10.8.2.213
A LAN & POE Ping:,10.8.2.217
Disti FKEE QB Ping:,10.8.2.220
QB-Gfloor Ping:,10.8.2.221
QB-1st Floor Ping:,10.8.2.222
QB-2nd Floor Ping:,10.8.2.223
R5 A5,10.8.2.224
R3 C2,10.8.2.225
