device_name,ip_address
A10 KOKO 1st Flr,10.8.3.239
A10 KOKO Gfloor sw1,10.8.3.237
A1-DTMI,10.8.3.6
A1-DTMI-1stFloor,10.8.3.15
A2-HIM & Perundangan,10.8.3.5
A4 1st Floor,10.8.3.7
A4-2ndFloor-Meeeting Executive,10.8.3.13
A5 PTM,10.8.3.14
A6 Pengawal Keselamatan,10.8.3.8
A6 Pos Kawalan,10.8.3.167
A8-Stadium,10.8.3.67
ATM & Bust Stop Switch,10.10.10.17
B1-Bilik Seminar Dpn MKPTM2,10.8.2.55
B1-MKPTM1,10.8.3.19
B1-MKPTM2,10.8.3.28
B1-MKPTM3,10.8.3.31
B1-MKPTM4,10.8.3.32
B2 1st Floor Makmal Bahasa Ping: 10.8...,10.8.3.44
B2 Pej. Antarabangsa,10.8.3.57
B3-PPB-Gfloor1stsw-48x2,10.8.3.81
B5-Bendahari-1stFlr,10.8.3.78
B5-Bendahari-Gfloor,10.8.3.79
B6 Bilik Seminar Kuliah,10.8.3.9
C11,10.8.3.39
C12-Makmal Fizik Kimia - 48x2 - 10.8....,10.8.3.10
C14a-Teater,10.8.3.24
C14b-Pentas Koko,10.8.3.23
C15-Gfloor,10.8.3.171
C16-Gfloor,10.8.3.170
C17-Gfloor,10.8.3.153
C1-FIB,10.8.2.20
C2 - Inkubator,10.8.3.178
C2-Server Room,10.8.3.27
C2-Server Room,10.8.3.35
C3 Stor PKSK  Avaya,10.8.3.12
C3 Unit Kebudayaan,10.8.3.11
C6 -,10.8.3.33
Disti B3.E6,10.8.3.250
Disti C15.C16,10.8.3.248
Kolam Renang,10.8.2.56
D10 Unit Awam Lama,10.8.3.64
D11 Kabin Pemandu,10.60.35.208
D13-001 Pej Lestari,10.8.3.73
D1-3rdFloor Bilik Pensyarah Ping: 10....,10.8.3.92
D14-Unit Percetakan,10.8.3.74
D15-Pejabat Alumni & PKU,10.8.3.70
D16-PKU2,10.8.3.90
D1-Gfloor Bilik Pensyarah Ping: 10.8....,10.8.3.80
D2-Asrama TSN 1stFloor POE Ping: 10.8...,10.8.2.129
D2-Pej TSN D02-007-02 G-Floor Ping: 1...,10.8.3.76
D3-Asrama TSN 1stFloor POE Ping: 10.8...,10.8.2.130
D4-Asrama TSN 1stFloor POE Ping: 10.8...,10.8.3.17
D6-004a-Felo-KKTSN-POE,10.8.3.169
D7 2ndFloor,10.8.3.62
D7 Gfloor,10.8.3.61
D8-Pusat Sukan D08-002,10.8.3.75
D9-PPP Unit Kenderaan & Majlis Ping: ...,10.8.3.72
E1 Makmal AMMC,10.8.3.60
E10-002_Makmal_Aerodinamik Ping: 10.8...,10.8.3.123
E10-Makmal 1st Floor E10-103-03 Ping:...,10.8.3.52
E11-Bilik Pensyarah E11-004A Ping: 10...,10.8.3.51
E12-Bilik Pensyarah E12-004A Ping: 10...,10.8.3.49
E14-Bilik Kuliah E14-001,10.8.3.54
E15-Bilik Kuliah E15-001,10.8.3.53
E16 2nd Floor,10.8.3.118
E16 3rd Floor CCTV,10.8.3.220
E16 3rd Floor,10.8.3.119
E16 Gfloor 1stFloor Pendaftar Ping: 1...,10.8.3.117
E17-Makmal Bahan FKAAB,10.8.3.55
E2,10.8.3.34
E3-Bilik Pensyarah E03-002 Ping: 10.8...,10.8.3.47
E5-Bilik Pensyarah E05-002 Ping: 10.8...,10.8.3.46
E6-Bilik ICT E6-002B-0,10.8.3.56
E7-Kanzu E7-002-01,10.8.3.48
E7-Pejabat Penerbit E7-002-01 Ping: 1...,10.8.3.77
E9-Makmal RECESS E9-102-01 Ping: 10.8...,10.8.3.50
F1-Makmal Kuasa F1-001-07 Ping: 10.8....,10.8.3.68
F2-Pejabat PPA,10.8.3.71
F3 P.Khidmat Pelajar,10.8.3.97
F4 Chamber Lab FKEE,10.8.3.42
F5 MINT SRC,10.8.3.243
G1 Disti Wing B,10.8.3.173
G1-A,10.8.3.162
G1-A-1st Floor Mkml Senibina Kompu...155,10.8.3.155
G1-B,10.8.3.164
G1-C,10.8.3.166
G1-D,10.8.3.168
G2 Disti FKMP Wing F,10.8.3.172
G2-E,10.8.3.154
G2-F,10.8.3.156
G2-G,10.8.3.157
G2-H,10.8.3.158
G3 Disti A-Gfloor,10.8.3.180
G3-A Wing Gfloor,10.8.3.181
G3-B Wing 1st,10.8.3.184
G3-B Wing 2nd,10.8.3.185
G3-B Wing Gfloor,10.8.3.183
G3-E Wing 1st,10.8.3.187
G3-E Wing 2nd,10.8.3.188
G3-E Wing GFloor,10.8.3.186
G7-Oricc,10.8.3.176
PKU PC Calling E-Klinik Ping: 10.60.2...,10.60.27.174
PMU Pencawang Masuk Utama Blkg Evegre...,10.8.3.29
A 1stFlr FKAAS Block A (South East) 1...,10.8.3.45
A 2ndFlr FKAAS Block A (South East) 1...,10.8.3.69
A 3rdFlr FKAAS Block A (South East) 1...,10.8.3.88
A 4thFlr FKAAS Block A (South East) 1...,10.8.3.127
A 5thFlrFKAAS Block A (South East) 10...,10.8.3.128
A 6thFlr FKAAS Block A (South East) 1...,10.8.3.129
A 7thFlr FKAAS Block A (South East) 1...,10.8.3.139
A 8thFlr FKAAS Block A (South East) 1...,10.8.3.140
A GrndFlr FKAAS Block A (South East) ...,10.8.3.59
B 1stFlr FKAAS (Tengah),10.8.3.30
B Grnd Floor FKAAS (Tengah),10.8.3.4
C 1st Flr FKAAS (North East),10.8.3.231
C 2nd Flr FKAAS (North East),10.8.3.226
C 3rd Flr FKAAS (North East),10.8.3.227
C 4th Flr FKAAS (North East),10.8.3.228
C 5th Flr FKAAS (North East),10.8.3.229
C 6th Flr FKAAS (North East),10.8.3.230
C Grnd Flr FKAAS (North East),10.8.3.225
C Mezzanine Flr FKAAS C (North Eas...222,10.8.3.222
