"ag-cell","ag-cell 2","ag-cell 3","ag-cell 4"
"KBANDAR-B-201-BILIK-MESYUARAT-FKAAB","0s","AP-505","10.9.152.23"
"KKTSN-L2-C208","0s","AP-505","10.8.4.35"
"D2-B-AP21","0s","AP-515","10.8.5.18"
"BLK-PSYARAH-C16-1stFloor-2","1m 27s","AP-303","10.8.5.137"
"KKTSN-L1-B118","9h 36m","AP-505","10.8.4.127"
"A18-KAWAD-AP01","18h 34m","AP-515","10.60.30.89"
"A2-003-06A-Integriti-AP305","1d 7h","AP-305","10.8.20.164"
"Masjid-i-006A-Pej-Pusat-Islam-AP2","2d 11h","AP-505","10.63.76.7"
"Masjid-Lobi-Heksagon-Kiri","2d 11h","AP-505","10.63.76.16"
"Masjid-Ruang-Solat-Kanan-AP1","2d 11h","AP-505","10.63.76.12"
"Masjid-i-002A-Dewan-Al-Farabi-AP2","2d 11h","AP-505","10.63.76.14"
"Masjid-i-010-Bkuliah-Al-Wasit","2d 11h","AP-505","10.63.76.17"
"Masjid-Lobi-Kanan-Aras1","2d 11h","AP-505","10.63.76.18"
"Masjid-i-001A-Dewan-Al-Farabi-AP1","2d 11h","AP-505","10.63.76.15"
"Masjid-i-008A-Dewan-Makan","2d 11h","AP-505","10.63.76.13"
"Masjid-Ruang-Solat-Kiri-Ars2-AP3","2d 11h","AP-505","10.63.76.5"
"Masjid-Ruang-Solat-Kanan-Ars2-AP3","2d 11h","AP-505","10.63.76.6"
"Masjid-Bilik-Raja","2d 11h","AP-505","10.63.76.11"
"Masjid-Ruang-Solat-Kanan-AP2","2d 11h","AP-505","10.63.76.9"
"Masjid-i-003-Sunnah-Waljamaah","2d 11h","AP-505","10.63.76.10"
"Masjid-Lobi-Heksagon-Kanan","2d 11h","AP-505","10.63.76.1"
"Masjid-Ruang-Solat-Kiri-AP1","2d 11h","AP-505","10.63.76.2"
"Masjid-Ruang-Bacaan","2d 11h","AP-505","10.63.76.4"
"Masjid-Ruang-Solat-Kiri-AP2","2d 11h","AP-505","10.63.76.3"
"FPTV-KA-001-11","3d 2h","AP-303","10.66.22.123"
"FPTV-KA-002-01-Koridor-BDekan","3d 2h","AP-505","10.66.22.68"
"FPTV-KA-002-17-Pejabat_Tengah","3d 2h","AP-505","10.66.22.142"
"FKAAB-M-144A-MKomputer3","10.67.21.7","AP-505","48:b4:c3:cd:25:de"
"FKAAB-M-021A-Kej-Pembinaan","10.67.21.30","AP-505","48:b4:c3:cd:9a:76"
"FK-R3-GF-AP02","10.67.20.34","AP-515","54:d7:e3:cd:10:d6"
"FK-R3-GF-AP01","10.67.21.73","AP-515","54:d7:e3:cd:39:d8"
"FKAAB-M-023A-Kej-Bahan_AP2","10.67.21.35","AP-505","48:b4:c3:cd:b9:30"
"FKAAB-M-019A-Fabrikasi-Logam","10.67.21.11","AP-505","48:b4:c3:cd:c4:52"
"FK-R3-GF-AP04","10.67.20.171","AP-515","54:d7:e3:cc:fd:00"
"FK-R3-GF-AP03","10.67.22.2","AP-515","54:d7:e3:cd:49:ac"
"FKAAB-M-023A-Kej-Bahan_AP1","10.67.21.31","AP-505","48:b4:c3:cd:c7:18"
"FKAAB-M-017A-Kej-Persekitaran","10.67.21.25","AP-505","48:b4:c3:cd:dc:ba"
"FKAAB-M-133-Koridor-BJurutera","10.67.21.36","AP-505","48:b4:c3:cd:19:ac"
"FKAAB-M-143A-BKuliah-CAGED","10.67.20.192","AP-505","48:b4:c3:cd:3a:5c"
"FKAAB-M-143A-BHujung-CAGED","10.67.21.40","AP-505","48:b4:c3:cd:2d:08"
"FKAAB-M-014A-Kej-Sumber-Air","10.67.20.212","AP-505","48:b4:c3:cd:be:4c"
"FKAAB-M-142-Koridor-BProf-Pelawat","10.67.21.37","AP-505","48:b4:c3:cd:b0:4c"
"FKAAB-M-018A-BTaklimat","10.67.20.176","AP-505","48:b4:c3:cd:c9:3c"
"T1-01-001-08A_Mesyuarat_Kreatif-GDU","10.8.84.6","AP-303","b8:3a:5a:c6:fd:46"
"T1-01B_Lobby-GDU(AP-atas-siling)","10.8.84.5","AP-315","24:f2:7f:c1:c3:68"
"T1-02-001A_Blk_Taklimat-GDU","10.8.84.4","AP-303","b8:3a:5a:c6:f2:0e"
"T1-02-008A_PusatOPerasi-GDU","10.8.84.3","AP-303","b8:3a:5a:c6:fa:3e"
"KKTSN-L2-C218","10.8.4.123","AP-505","34:3a:20:c3:47:ca"
"KKTSN-L1-C126","10.8.5.152","AP-505","6c:c4:9f:c9:69:2a"
"A9-KOLAM-AP04","10.8.204.93","AP-515","54:d7:e3:cd:33:1e"
"KKTSN-L3-B326","10.8.4.88","AP-505","34:3a:20:c3:47:c6"
"KKTSN-L2-C208","10.8.5.45","AP-505","6c:c4:9f:ce:b2:da"
"LIB19-L3-L-317-Eksplorasi5","10.63.36.33","AP-505","48:b4:c3:cd:c5:1e"
"KKTSN-L3-B308","10.8.4.70","AP-505","34:3a:20:c2:de:68"
"KKTSN-L3-B322","10.8.4.25","AP-505","34:8a:12:cc:b3:fc"
"FPTV-KD-022A-Acuan-Tuangan","10.8.7.23","AP-505","48:b4:c3:cd:25:60"
"FPTV-KD-008A-Koridor-Makmal","10.8.7.10","AP-505","48:b4:c3:cd:19:32"
"FPTV-KD-004C-Koridor-Makmal","10.8.6.189","AP-505","48:b4:c3:cd:2a:92"
"FPTV-KD-007B-Penyaman-Udara","10.8.7.22","AP-505","48:b4:c3:cd:3d:9a"
"FPTV-KD-004C-Makmal-Elektrik","10.8.6.190","AP-505","48:b4:c3:cd:27:38"
"FPTV-KA-002","10.66.22.165","AP-303","b8:3a:5a:c6:fb:ee"
"FPTV-KA-001-01","10.66.22.164","AP-303","b8:3a:5a:c6:fc:c4"
"Masjid-Ruang-Solat-Kiri-AP2","10.63.76.3","AP-505","48:b4:c3:cd:3a:28"
"FPTV-KA-001-11","10.66.22.123","AP-303","b8:3a:5a:c6:d7:f6"
"FPTV-KA-002-01-Koridor-BDekan","10.66.22.68","AP-505","48:b4:c3:cd:2f:76"
"FPTV-KA-002-17-Pejabat_Tengah","10.66.22.142","AP-505","a8:5b:f7:c3:e4:c6"
"FPTV-KD-008A-Udara-Kenderaan","10.8.6.194","AP-505","48:b4:c3:cd:13:a4"
"FPTV-KD-010A-Ukur-Perpaipan","10.8.7.14","AP-505","48:b4:c3:cd:33:a8"
"FPTV-KD-021B-Kayu-Perabot","10.8.7.21","AP-505","48:b4:c3:cd:3b:ca"
"D2-B-AP12","10.8.4.24","AP-515","54:d7:e3:cd:0a:c2"
"D2-B-AP11","10.8.4.16","AP-515","54:d7:e3:cd:3b:6a"
"D2-B-AP18","10.8.4.18","AP-515","54:d7:e3:cd:36:ea"
"D2-B-AP13","10.8.5.16","AP-515","54:d7:e3:cd:0d:ae"
"D2-B-AP17","10.8.5.57","AP-515","54:d7:e3:cd:3b:94"
"D2-B-AP22","10.8.4.15","AP-515","54:d7:e3:cd:45:9a"
"D2-B-AP15","10.8.4.21","AP-515","54:d7:e3:cd:3e:2a"
"D2-B-AP19","10.8.5.24","AP-515","54:d7:e3:cd:20:c0"
"D2-B-AP14","10.8.4.20","AP-515","54:d7:e3:cd:4d:24"
"D2-B-AP16","10.8.4.17","AP-515","54:d7:e3:cd:1a:6c"
"KKTSN-L2-B204","10.8.4.84","AP-505","34:3a:20:c2:be:d4"
"KKTSN-GF-B026","10.8.4.71","AP-505","34:3a:20:c3:24:9e"
