name,ip_address,category,status,location,brand
A1 Cam 3,10.5.87.101,cctv,unknown,,
A1 Cam 4,10.5.87.102,cctv,unknown,,
A8 Cam 2  Surau,10.5.87.103,cctv,unknown,,
A7 Cam 2 Kafe,10.5.87.104,cctv,unknown,,
A9 Cam 2  Dewan,10.5.87.106,cctv,unknown,,
A9 Cam 5  Dewan,10.5.87.107,cctv,unknown,,
A9 Cam 3  Dewan,10.5.87.108,cctv,unknown,,
A6 Cam 4,10.5.87.109,cctv,unknown,,
A10 Cam 4,10.5.87.110,cctv,unknown,,
A18 Cam 3,10.5.87.111,cctv,unknown,,
A18 Cam 4,10.5.87.112,cctv,unknown,,
A17 Cam 3,10.5.87.113,cctv,unknown,,
A13 Cam 4,10.5.87.114,cctv,unknown,,
A14 Cam 3,10.5.87.115,cctv,unknown,,
Balai Pengawal 2 Cam 1,10.5.87.116,cctv,unknown,,
Balai Pengawal 2 Cam 2,10.5.87.117,cctv,unknown,,
A16 Cam 3,10.5.87.118,cctv,unknown,,
A9 Cam 4  Dewan,10.5.87.205,cctv,unknown,,
Cam guard 1 (Pagoh),10.5.87.208,cctv,unknown,,
Cam guard 2 (Pagoh),10.5.87.209,cctv,unknown,,
A1 cam1 (Pagoh),10.5.87.210,cctv,unknown,,
A1 cam2 (Pagoh),10.5.87.211,cctv,unknown,,
A5 cam1 (Pagoh),10.5.87.212,cctv,unknown,,
A5 cam2 (Pagoh),10.5.87.213,cctv,unknown,,
A5 cam3 bilik belajar (Pagoh),10.5.87.214,cctv,unknown,,
A6 cam3 parking (Pagoh),10.5.87.215,cctv,unknown,,
A6 cam2 (Pagoh),10.5.87.216,cctv,unknown,,
A6 cam1 (Pagoh),10.5.87.217,cctv,unknown,,
A7 cam1 Kafe (Pagoh),10.5.87.218,cctv,unknown,,
A8 cam1 Surau (Pagoh),10.5.87.219,cctv,unknown,,
A9 cam1 Dewan (Pagoh),10.5.87.220,cctv,unknown,,
A10 cam1 (Pagoh),10.5.87.221,cctv,unknown,,
A10 cam2 (Pagoh),10.5.87.222,cctv,unknown,,
A10 cam3 parking (Pagoh),10.5.87.223,cctv,unknown,,
A11 cam1 (Pagoh),10.5.87.224,cctv,unknown,,
A11 cam2 (Pagoh),10.5.87.225,cctv,unknown,,
A11 cam3 bilik belajar (Pagoh),10.5.87.226,cctv,unknown,,
A12 cam3 bilik belajar (Pagoh),10.5.87.227,cctv,unknown,,
