location,name,ip_address,status,response_time
A5,eoffice.uthm.edu.my,161.139.246.177,online,1
A5,epayment.uthm.edu.my,161.139.246.237,online,2
A5,eplm.uthm.edu.my,161.139.246.220,online,1
A5,lpu.uthm.edu.my,161.139.246.180,online,1
A5,saas idrac,192.168.242.121,online,1
A5,telefon.uthm.edu.my,161.139.246.60,online,1
A5,author.uthm.edu.my HTTPS,161.139.246.122,online,19
A5,senafizikal,192.168.241.231,online,3
A5,netapp,161.139.246.104,online,1
A5,v remote,192.168.240.240,online,2
A5,oricc physical,192.168.241.174,online,1
A5,dms,192.168.241.190,online,1
A5,orric win server,192.168.241.175,online,0
A5,smtpgw,192.168.240.1,online,1
A5,ldap2,192.168.240.244,offline,
A5,comsol,192.168.241.206,online,3
A5,cst license,192.168.241.186,online,4
A5,fams.uthm.edu.my,161.139.246.181,online,1
A5,helpdesk,161.139.246.227,offline,
A5,itinfo.uthm.edu.my,161.139.246.182,online,1
A5,matlab,192.168.241.166,online,3
A5,mxout,192.168.240.2,online,1
A5,author.uthm.edu.my Ping,161.139.246.123,online,3
A5,vmnetwork01.uthm.edu.my,192.168.240.101,online,0
A5,vmnetwork02.uthm.edu.my,192.168.240.102,online,1
A5,vmnetwork03.uthm.edu.my,192.168.240.103,online,2
A5,rhev manager,161.139.246.70,online,1
A5,rhev03,161.139.246.73,online,1
A5,rhev04,161.139.246.76,online,0
A5,sap,192.168.241.215,online,4
A5,solidwork fkee,192.168.242.207,online,1
A5,vmha01,192.168.241.1,online,1
A5,vmha04,192.168.241.4,online,1
A5,vmha06,192.168.242.206,online,1
A5,vmha08,192.168.242.243,online,1
A5,fortigate,192.168.2.253,online,1
A5,hypergrid 01,10.100.141.11,online,2
A5,hypergrid 02,10.100.141.12,online,2
A5,hypergrid 03,10.100.141.13,online,2
A5,hypergrid host,10.100.141.10,online,1
A5,sangfor,10.8.46.117,online,0
A5,sena speed,192.168.6.41,online,1
A5,sena uptime,192.168.240.189,online,2
A5,fortianalyzer,192.168.2.8,online,1
A5,senaserver,192.168.6.42,online,1
A5,esteem TCP 8000,192.168.6.50,online,1
A5,mdrfkmp,192.168.6.51,online,1
A5,timetable,10.100.141.35,offline,
A5,timetabledb,10.100.141.36,offline,
A5,umpstaging,10.100.141.70,online,1
A5,HCI Sangfor Node 1,192.168.242.2,online,0
A5,HCI Sangfor Node 2,192.168.242.3,online,0
A5,acronis,192.168.241.221,online,1
A5,author C2,192.168.241.122,online,2
A5,ldap4.uthm.edu.my,192.168.240.245,offline,
A5,plaxis lesen server,10.8.201.205,online,3
A5,vmha03,192.168.241.3,online,0
A5,vmha05,192.168.241.5,online,1
A5,vmha07,192.168.242.212,online,0
A5,BCKP SVR,161.139.246.158,offline,
A5,CS 0,161.139.246.150,online,1
A5,CS 1,161.139.246.151,online,2
A5,MPR,161.139.246.155,offline,
A5,Rack EMC A5,10.8.2.244,online,3
