location,name,ip_address,status,response_time
A10,A10 KOKO 1st Flr,10.8.3.239,online,1
A10,A10 KOKO Gfloor sw,10.8.3.237,online,1
A1,A1-DTMI,10.8.3.6,online,1
A1,A1-DTMI-1stFloor,10.8.3.15,online,1
A2,A2-HIM & Perundangan Ping,10.8.3.5,online,1
A4,A4 1st Floor,10.8.3.7,online,1
A4,A4-2ndFloor-Meeeting Executive,10.8.3.13,online,1
A5,A5 PTM,10.8.3.14,online,1
A6,A6 Pengawal Keselamatan,10.8.3.8,online,1
A6,A6 Pos Kawalan,10.8.3.167,online,1
A8,A8-Stadium,10.8.3.67,online,1
B1,ATM & Bust Stop Switch,10.10.10.17,online,1
B1,B1-Bilik Seminar Dpn MKPTM2,10.8.2.55,online,1
B1,B1-MKPTM1,10.8.3.19,online,1
B1,B1-MKPTM2,10.8.3.28,online,1
B1,B1-MKPTM3,10.8.3.31,online,1
B1,B1-MKPTM4,10.8.3.32,online,1
B2,B2 1st Floor Makmal Bahasa,10.8.3.44,online,1
B2,B2 Pej. Antarabangsa,10.8.3.57,online,1
B3,B3-PPB-Gfloor1stsw-48x2,10.8.3.81,online,1
B5,B5-Bendahari-1stFlr,10.8.3.78,online,1
B5,B5-Bendahari-Gfloor,10.8.3.79,online,1
B6,B6 Bilik Seminar Kuliah,10.8.3.9,online,1
C11,C11-,10.8.3.39,online,1
C12,C12-Makmal Fizik Kimia - 48x2 -,10.8.3.10,online,1
C14,C14a-Teater,10.8.3.24,online,1
C14,C14b-Pentas Koko,10.8.3.23,online,1
C15,C15-Gfloor,10.8.3.171,online,1
C16,C16-Gfloor,10.8.3.170,online,1
C17,C17-Gfloor,10.8.3.153,online,1
C1,C1-FIB,10.8.2.20,online,1
C2,C2 - Inkubator,10.8.3.178,online,1
C2,C2-Server Room,10.8.3.27,online,1
C2,C2-Server Room,10.8.3.35,online,1
C3,C3 Stor PKSK 10.8.3.12 Avaya,10.8.3.12,online,1
C3,C3 Unit Kebudayaan,10.8.3.11,online,1
C6,C6 -,10.8.3.33,online,1
B3,Disti B3.E,10.8.3.250,online,1
C15,Disti C15.C,10.8.3.248,online,1
Kolam Renang,Kolam Renang,10.8.2.56,online,1
D10,D10 Unit Awam Lama,10.8.3.64,online,1
D11,D11 Kabin Pemandu,10.60.35.208,online,1
D13,D13-001 Pej Lestari,10.8.3.73,online,1
D1,D1-3rdFloor Bilik Pensyarah,10.8.3.92,online,1
D14,D14-Unit Percetakan,10.8.3.74,online,1
D15,D15-Pejabat Alumni & PKU,10.8.3.70,online,1
D16,D16-PKU,10.8.3.90,online,1
D1,D1-Gfloor Bilik Pensyarah,10.8.3.80,online,1
D2,D2-Asrama TSN 1stFloor POE,10.8.2.129,online,1
D2,D2-Pej TSN D02-007-02 G-Floor,10.8.3.76,online,1
D3,D3-Asrama TSN 1stFloor POE,10.8.2.130,online,1
D4,D4-Asrama TSN 1stFloor POE,10.8.3.17,online,1
D6,D6-004a-Felo-KKTSN-POE,10.8.3.169,online,1
D7,D7 2ndFloor,10.8.3.62,online,1
D7,D7 Gfloor,10.8.3.61,online,1
D8,D8-Pusat Sukan D08-,10.8.3.75,online,1
D9,D9-PPP Unit Kenderaan & Majlis,10.8.3.72,online,1
E1,E1 Makmal AMMC,10.8.3.60,online,1
E10,E10-002_Makmal_Aerodinamik,10.8.3.123,online,1
E10,E10-Makmal 1st Floor E10-103-,10.8.3.52,online,1
E11,E11-Bilik Pensyarah E11-004A,10.8.3.51,online,1
E12,E12-Bilik Pensyarah E12-004A,10.8.3.49,online,1
E14,E14-Bilik Kuliah E14-,10.8.3.54,online,1
E15,E15-Bilik Kuliah E15-,10.8.3.53,online,1
E16,E16 2nd Floor,10.8.3.118,online,1
E16,E16 3rd Floor CCTV,10.8.3.220,online,1
E16,E16 3rd Floor,10.8.3.119,online,1
E16,E16 Gfloor 1stFloor Pendaftar,10.8.3.117,online,1
E17,E17-Makmal Bahan FKAAB,10.8.3.55,online,1
E,E,10.8.3.34,online,1
E3,E3-Bilik Pensyarah E03-,10.8.3.47,online,1
E5,E5-Bilik Pensyarah E05-,10.8.3.46,online,1
E6,E6-Bilik ICT E6-002B-,10.8.3.56,online,1
E7,E7-Kanzu E7-002-,10.8.3.48,online,1
E7,E7-Pejabat Penerbit E7-002-,10.8.3.77,online,1
E9,E9-Makmal RECESS E9-102-,10.8.3.50,online,1
F1,F1-Makmal Kuasa F1-001-,10.8.3.68,online,1
F2,F2-Pejabat PPA,10.8.3.71,online,1
F3,F3 P.Khidmat Pelajar,10.8.3.97,online,1
F4,F4 Chamber Lab FKEE,10.8.3.42,online,1
F5,F5 MINT SRC,10.8.3.243,online,1
G1,G1 Disti Wing B,10.8.3.173,online,1
G1,G1-A,10.8.3.162,online,1
G1,G1-A-1st Floor Mkml Senibina Kompu,10.8.3.155,online,1
G1,G1-B,10.8.3.164,online,1
G1,G1-C,10.8.3.166,online,1
G1,G1-D,10.8.3.168,online,1
G2,G2 Disti FKMP Wing F,10.8.3.172,online,1
G2,G2-E,10.8.3.154,online,1
G2,G2-F,10.8.3.156,online,1
