name,ip_address,category,status,location,brand
E10-002-Mkml_Aerodinamik,10.5.134.85,wifi,unknown,,
C16-001A-FKMP_Bawah,10.8.4.14,wifi,unknown,,
D1-328-Bilik_Pensyarah,10.8.4.15,wifi,unknown,,
D1-228-Bilik_Pensyarah,10.8.4.16,wifi,unknown,,
D1-216-Bilik_Pensyarah,10.8.4.17,wifi,unknown,,
D1-316-Bilik_Pensyarah,10.8.4.18,wifi,unknown,,
D1-322-Bilik_Pensyarah,10.8.4.19,wifi,unknown,,
D1-321-Bilik_Pensyarah,10.8.4.20,wifi,unknown,,
D1-221-Bilik_Pensyarah,10.8.4.21,wifi,unknown,,
D1-223-Bilik_Pensyarah,10.8.4.24,wifi,unknown,,
C16= BLK PSYARAH C16 GFloor 1,10.8.4.27,wifi,unknown,,
FPTP-J-201-02A-Makmal _Pasca_Siswazah,10.8.4.31,wifi,unknown,,
FPTP-J-206As-Pusat_Sumber_Aras 2,10.8.4.32,wifi,unknown,,
FPTP-J-203A (Makmal komputer sains pengurusan),10.8.4.33,wifi,unknown,,
FPTP-J-202A (Makmal komputer pengeluaran & operasi),10.8.4.34,wifi,unknown,,
C16= BLK-PSYARAH-C16-1stFloor-1,10.8.4.52,wifi,unknown,,
B5-101-11A Bendahari-Aras 1 Bilik Mesyuarat,10.8.4.89,wifi,unknown,,
FPTP-J-402B-Ruang_Pej.Pensyarah-3,10.8.4.138,wifi,unknown,,
G3= KDK-E-A0-2-G3e-006b,10.8.4.149,wifi,unknown,,
FPTP-J-008A-Makmal_Ukur_Tanah_&_Pembinaan,10.8.4.154,wifi,unknown,,
FPTP-J-702-01-Bilik_Pensyarah,10.8.4.163,wifi,unknown,,
FPTP-J-105A-Bilik Seminar_Aras-1,10.8.4.165,wifi,unknown,,
C15= BLK-PSYARAH-C15-1STFLR-1,10.8.4.171,wifi,unknown,,
D1-205 2ndfloor,10.8.4.175,wifi,unknown,,
FPTP-J-802-03-Bilik Pensyarah,10.8.4.202,wifi,unknown,,
FPTP-J-205A-Bilik_Kuliah-2,10.8.4.217,wifi,unknown,,
FPTP-J-602-01-Bilik_Pensyarah,10.8.4.219,wifi,unknown,,
