IP Address,Device Label
10.8.3.20,DS-FPTP
10.8.3.202,Library-Disti
10.8.3.15,A1_Pej_Perundangan
10.8.3.3,FKAAS-Disti
10.8.3.16,C2-CCTV_server
10.8.3.1,CS-SERVER FARM
10.8.3.6,A1-DTMI
10.8.3.2,L1-ServerFarmSwitch-2ndFlr
10.8.3.12,PKSK
10.8.3.14,A5 Server Room
10.8.3.11,C3-KOKO
10.8.3.58,FSO_D1
10.8.3.78,B5-Atas-Pej_Bendahari
10.8.3.51,E11-Makmal-Komputer
10.8.3.57,B1-CEC
10.8.3.68,F1
10.8.3.79,B5-Bendahari GFloor
10.8.3.120,FPTV-Disti
10.8.3.45,FKAASBlockA1stFloor
10.8.3.93,DS-KK PERWIRA_Blok_E
10.8.3.30,FKAASBlockB1stFloor
10.8.3.143,FPTP_1stFLoorBilikICT
10.8.3.61,D7-Block-Pensyarah-Gnd-Flr
10.8.3.109,Perwira-Blok-J
10.8.3.130,FSKTM-Disti
10.8.3.69,FKAASBlockA2ndFloor
10.8.3.105,G5-KKTF-KS2-GrdFlr
10.8.3.168,FKEE G1 Wing D
10.8.3.59,FKAASBlockAGrndFloor
10.8.3.131,FSKTM_GndFloor
10.8.3.175,G1-StudioUCiTV
10.8.3.138,FSKTM_7thFloor
10.8.3.182,G3A 1st Floor
10.8.3.82,PALAPES_Markas
10.8.3.88,FKAASBlockA3rdFloor
10.8.3.114,Perwira L
10.8.3.178,Mkml Komputer Siswazah C2
10.8.3.133,FSKTM_2ndFloor
10.8.3.62,D7-Block-Pensyarah-2nd-Flr
10.8.3.132,FSKTM_Gnd-1stFloor
10.8.3.187,G3E-FLOOR-1
10.8.3.179,MCAD1 LAB
10.8.3.173,DS-G1 (Wing B)
10.8.3.145,FPTP_2ndFloorBilikICT
10.8.3.91,F-PerwiraHostel
10.8.3.137,FSKTM_6thFloor
10.8.3.144,FPTP_1stFloorBilikServer
10.8.3.142,FPTP_GrndFloorBilikICT
10.8.3.235,PCyber2-Perwira-BlokH_5800
10.8.3.186,G3E-GFLOOR
10.8.3.146,FPTP_2ndFloorBilikServer
10.8.3.136,FSKTM_5thFloor
10.8.3.149,G1-BilikMesyuaratFKEE_G1
10.8.3.206,L1-ES-1stFlr-East-WC03
10.8.3.140,FKAASBlockA8thFloor
10.8.3.185,G3B-FLOOR-2
10.8.3.209,L1-ES-2ndFlr-West-WC06
10.8.3.129,FKAASBlockA6thFloor
10.8.3.243,NanoTeknologi
10.8.3.210,L1-ES-3rdFlr-EasWC07
10.8.3.134,FSKTM_3rdFloor
10.8.3.128,FKAASBlockA5thFloor
10.8.3.147,FPTP_3rdFloorBilikICT
10.8.3.148,FPTP_4thFloorBilikICT
10.8.3.219,FPTP_8thFloorBilikICT
10.8.3.208,L1-ES-2ndFlr-East-WC05
10.8.3.66,CCTVControlRoomLibrary
10.8.3.141,FPTP_GrndFloorBilikServer
10.8.3.232,Masjid-UTHM
10.8.3.127,FKAASBlockA4thFloor
10.8.3.212,L1-ES-4thFlr-East-WC09
10.8.3.214,L1-ES-5thFlr-East-WC11
10.8.3.162,FKEE G1 Wing A
10.8.3.207,L1-ES-1stFlr-West-WC04
10.8.3.135,FSKTM_4thFloor
10.8.3.139,FKAASBlockA7thFloor
10.8.3.218,FPTP_7thFloorBilikICT
10.8.3.205,L1-ES-GndFlr-West-WC02
10.8.3.169,HPE-D6-004a-Felo-KKTSN-POE
10.8.3.229,FKAASBlockC5thFloor
10.8.3.225,FKAASBlockCGrndFloor
10.8.3.238,G8_Mkml_Enviro
10.8.3.41,Mkml Bahasa
10.8.3.217,FPTP_6thFloorBilikICT
10.8.3.230,FKAASBlockC6thFloor
10.8.3.226,FKAASBlockC2ndFloor
10.8.3.231,FKAASBlockC1stFloor (MU-114)
10.8.3.213,L1-ES-4thFlr-West-WC10
10.8.3.222,FKAASBlockCMezaninFloor
10.8.3.227,FKAASBlockC3rdFloor
10.8.3.215,L1-ES-5thFlr-West-WC12
10.8.3.204,L1-ES-GndFlr-East-WC01
10.8.3.211,L1-ES-3rdFlr-West-WC08
10.8.3.65,CCTV-ServerRoomLibrary
10.8.3.242,H3C-KOKO-SW2
10.8.3.228,FKAASBlockC4thFloor
10.8.3.234,G9-Biodiesel
10.8.3.216,FPTP_5thFloorBilikICT
10.8.2.56,HP V1910 Switch
10.8.2.36,SwitchFKAAS-UBNT
